OG1_5_4873: Emihu1|449185 Emi219|CAMPEP_0187754512 Emi379|CAMPEP_0187623120 Emi370|CAMPEP_0187672074 Emi374|CAMPEP_0187602470
OG1_5_6543: Emi219|CAMPEP_0187801096 Emi370|CAMPEP_0187684112 Emi379|CAMPEP_0187646058 Emi374|CAMPEP_0187594046 Emihu1|462674
OG1_5_6544: Emi219|CAMPEP_0187801098 Emi370|CAMPEP_0187733068 Emi374|CAMPEP_0187611406 Emi379|CAMPEP_0187632452 Emihu1|124502
OG1_5_6545: Emi219|CAMPEP_0187801416 Emi370|CAMPEP_0187666456 Emi379|CAMPEP_0187653964 Emihu1|415582 Emi374|CAMPEP_0187590758
OG1_5_6546: Emi219|CAMPEP_0187801424 Emi370|CAMPEP_0187687534 Emi374|CAMPEP_0187589508 Emi379|CAMPEP_0187642464 Emihu1|462894
OG1_5_6547: Emi219|CAMPEP_0187801436 Emi374|CAMPEP_0187590240 Emi370|CAMPEP_0187665158 Emi379|CAMPEP_0187615962 Emihu1|99733
OG1_5_6548: Emi219|CAMPEP_0187801438 Emihu1|428142 Emi374|CAMPEP_0187586384 Emi370|CAMPEP_0187678608 Emi379|CAMPEP_0187628820
OG1_5_6549: Emi219|CAMPEP_0187806126 Emihu1|450428 Emi370|CAMPEP_0187732772 Emi379|CAMPEP_0187624350 Emi374|CAMPEP_0187609518
OG1_5_6551: Emi219|CAMPEP_0187806150 Emi379|CAMPEP_0187656916 Emi370|CAMPEP_0187688198 Emihu1|358226 Emi374|CAMPEP_0187586222
OG1_5_6553: Emi219|CAMPEP_0187806156 Emi374|CAMPEP_0187611140 Emihu1|454556 Emi370|CAMPEP_0187711544 Emi379|CAMPEP_0187615350
OG1_5_6556: Emi219|CAMPEP_0187805838 Emi374|CAMPEP_0187609074 Emi370|CAMPEP_0187732904 Emi379|CAMPEP_0187655830 Emihu1|108000
OG1_5_6557: Emi219|CAMPEP_0187805654 Emi374|CAMPEP_0187574650 Emi379|CAMPEP_0187654834 Emihu1|247208 Emi370|CAMPEP_0187691360
OG1_5_6560: Emi219|CAMPEP_0187802112 Emi374|CAMPEP_0187580876 Emi370|CAMPEP_0187677228 Emi379|CAMPEP_0187616444 Emihu1|119769
OG1_5_6561: Emi219|CAMPEP_0187802166 Emi370|CAMPEP_0187682308 Emi374|CAMPEP_0187590962 Emi379|CAMPEP_0187646110 Emihu1|443014
OG1_5_6563: Emi219|CAMPEP_0187802176 Emi374|CAMPEP_0187600618 Emi370|CAMPEP_0187733692 Emi379|CAMPEP_0187655198 Emihu1|71897
OG1_5_6564: Emi219|CAMPEP_0187802226 Emihu1|437577 Emi370|CAMPEP_0187677654 Emi379|CAMPEP_0187613438 Emi374|CAMPEP_0187586066
OG1_5_6565: Emi219|CAMPEP_0187802268 Emi374|CAMPEP_0187589600 Emi370|CAMPEP_0187683684 Emi379|CAMPEP_0187633544 Emihu1|209648
OG1_5_6566: Emi219|CAMPEP_0187802618 Emi379|CAMPEP_0187639402 Emihu1|449967 Emi374|CAMPEP_0187601434 Emi370|CAMPEP_0187731462
OG1_5_6568: Emi219|CAMPEP_0187802446 Emi379|CAMPEP_0187628618 Emihu1|464903 Emi374|CAMPEP_0187589178 Emi370|CAMPEP_0187711748
OG1_5_6570: Emi219|CAMPEP_0187802744 Emi370|CAMPEP_0187670086 Emi374|CAMPEP_0187589276 Emi379|CAMPEP_0187614400 Emihu1|205817
OG1_5_6572: Emi219|CAMPEP_0187750668 Emihu1|73160 Emi370|CAMPEP_0187666900 Emi379|CAMPEP_0187621972 Emi374|CAMPEP_0187606704
OG1_5_6573: Emi219|CAMPEP_0187738034 Emi374|CAMPEP_0187611684 Emihu1|438095 Emi370|CAMPEP_0187664070 Emi379|CAMPEP_0187634052
OG1_5_6574: Emi219|CAMPEP_0187750866 Emi374|CAMPEP_0187590880 Emi370|CAMPEP_0187689922 Emi379|CAMPEP_0187622302 Emihu1|359016
OG1_5_6575: Emi219|CAMPEP_0187751092 Emihu1|224575 Emi370|CAMPEP_0187710494 Emi379|CAMPEP_0187649676 Emi374|CAMPEP_0187575304
OG1_5_6576: Emi219|CAMPEP_0187751094 Emi379|CAMPEP_0187615032 Emi374|CAMPEP_0187584910 Emi370|CAMPEP_0187703636 Emihu1|437941
OG1_5_6578: Emi219|CAMPEP_0187751102 Emi379|CAMPEP_0187622510 Emi374|CAMPEP_0187579426 Emi370|CAMPEP_0187718940 Emihu1|440832
OG1_5_6579: Emi219|CAMPEP_0187791052 Emi374|CAMPEP_0187609196 Emi370|CAMPEP_0187730074 Emi379|CAMPEP_0187625554 Emihu1|122350
OG1_5_6580: Emi219|CAMPEP_0187752290 Emi370|CAMPEP_0187680518 Emi379|CAMPEP_0187614282 Emi374|CAMPEP_0187603402 Emihu1|217815
OG1_5_6581: Emi219|CAMPEP_0187752578 Emi370|CAMPEP_0187710088 Emi374|CAMPEP_0187582642 Emi379|CAMPEP_0187642324 Emihu1|240172
OG1_5_6582: Emi219|CAMPEP_0187792424 Emi379|CAMPEP_0187628450 Emi374|CAMPEP_0187606616 Emi370|CAMPEP_0187698804 Emihu1|98504
OG1_5_6583: Emi219|CAMPEP_0187753592 Emi374|CAMPEP_0187574664 Emi370|CAMPEP_0187680928 Emi379|CAMPEP_0187621902 Emihu1|97687
OG1_5_6584: Emi219|CAMPEP_0187736488 Emi379|CAMPEP_0187646238 Emi370|CAMPEP_0187666322 Emihu1|242726 Emi374|CAMPEP_0187589912
OG1_5_6585: Emi219|CAMPEP_0187753830 Emihu1|433458 Emi370|CAMPEP_0187681476 Emi379|CAMPEP_0187615394 Emi374|CAMPEP_0187581666
OG1_5_6586: Emi219|CAMPEP_0187753834 Emi374|CAMPEP_0187611858 Emi379|CAMPEP_0187631736 Emi370|CAMPEP_0187687362 Emihu1|121183
OG1_5_6587: Emi219|CAMPEP_0187754076 Emi374|CAMPEP_0187606504 Emi370|CAMPEP_0187692664 Emi379|CAMPEP_0187658108 Emihu1|74645
OG1_5_6588: Emi219|CAMPEP_0187754082 Emi379|CAMPEP_0187649720 Emihu1|41894 Emi370|CAMPEP_0187727274 Emi374|CAMPEP_0187575754
OG1_5_6589: Emi219|CAMPEP_0187754610 Emihu1|432420 Emi370|CAMPEP_0187728428 Emi374|CAMPEP_0187581282 Emi379|CAMPEP_0187620980
OG1_5_6590: Emi219|CAMPEP_0187754870 Emi370|CAMPEP_0187675210 Emi374|CAMPEP_0187577954 Emi379|CAMPEP_0187626788 Emihu1|460442
OG1_5_6591: Emi219|CAMPEP_0187754890 Emihu1|416100 Emi379|CAMPEP_0187646060 Emi374|CAMPEP_0187581574 Emi370|CAMPEP_0187695868
OG1_5_6592: Emi219|CAMPEP_0187755358 Emihu1|432696 Emi370|CAMPEP_0187728512 Emi379|CAMPEP_0187616866 Emi374|CAMPEP_0187590866
OG1_5_6593: Emi219|CAMPEP_0187794230 Emihu1|55553 Emi374|CAMPEP_0187588502 Emi379|CAMPEP_0187623846 Emi370|CAMPEP_0187692700
OG1_5_6594: Emi219|CAMPEP_0187794234 Emi379|CAMPEP_0187642608 Emi374|CAMPEP_0187579652 Emi370|CAMPEP_0187688624 Emihu1|435840
OG1_5_6595: Emi219|CAMPEP_0187794238 Emi374|CAMPEP_0187606990 Emi379|CAMPEP_0187630272 Emi370|CAMPEP_0187718884 Emihu1|447795
OG1_5_6596: Emi219|CAMPEP_0187794546 Emi374|CAMPEP_0187587388 Emi370|CAMPEP_0187668608 Emi379|CAMPEP_0187648968 Emihu1|433056
OG1_5_6597: Emi219|CAMPEP_0187795184 Emi379|CAMPEP_0187624260 Emi370|CAMPEP_0187681576 Emi374|CAMPEP_0187581550 Emihu1|95784
OG1_5_6598: Emi219|CAMPEP_0187756380 Emihu1|431867 Emi370|CAMPEP_0187704346 Emi374|CAMPEP_0187585654 Emi379|CAMPEP_0187646634
OG1_5_6599: Emi219|CAMPEP_0187756498 Emi374|CAMPEP_0187608916 Emi379|CAMPEP_0187656230 Emi370|CAMPEP_0187731394 Emihu1|442090
OG1_5_6600: Emi219|CAMPEP_0187796602 Emi374|CAMPEP_0187612150 Emihu1|216375 Emi370|CAMPEP_0187730570 Emi379|CAMPEP_0187643150
OG1_5_6603: Emi219|CAMPEP_0187738620 Emi379|CAMPEP_0187639824 Emi370|CAMPEP_0187703640 Emihu1|310898 Emi374|CAMPEP_0187576076
OG1_5_6604: Emi219|CAMPEP_0187738640 Emi370|CAMPEP_0187688298 Emi374|CAMPEP_0187581122 Emihu1|467193 Emi379|CAMPEP_0187625428
OG1_5_6605: Emi219|CAMPEP_0187757544 Emi374|CAMPEP_0187589902 Emi379|CAMPEP_0187629460 Emi370|CAMPEP_0187697814 Emihu1|216997
OG1_5_6606: Emi219|CAMPEP_0187758132 Emi379|CAMPEP_0187612920 Emi374|CAMPEP_0187608884 Emi370|CAMPEP_0187701070 Emihu1|368788
OG1_5_6607: Emi219|CAMPEP_0187758136 Emi370|CAMPEP_0187733752 Emihu1|203885 Emi379|CAMPEP_0187633626 Emi374|CAMPEP_0187591066
OG1_5_6611: Emi219|CAMPEP_0187758334 Emihu1|209641 Emi370|CAMPEP_0187705608 Emi379|CAMPEP_0187632872 Emi374|CAMPEP_0187610656
OG1_5_6613: Emi219|CAMPEP_0187759752 Emi370|CAMPEP_0187733866 Emihu1|355229 Emi379|CAMPEP_0187633824 Emi374|CAMPEP_0187609472
OG1_5_6614: Emi219|CAMPEP_0187801108 Emihu1|433445 Emi374|CAMPEP_0187588848 Emi379|CAMPEP_0187638876 Emi370|CAMPEP_0187687966
OG1_5_6615: Emi219|CAMPEP_0187801110 Emi379|CAMPEP_0187622340 Emi370|CAMPEP_0187693750 Emihu1|452262 Emi374|CAMPEP_0187575552
OG1_5_6616: Emi219|CAMPEP_0187801122 Emihu1|433847 Emi374|CAMPEP_0187577806 Emi370|CAMPEP_0187705644 Emi379|CAMPEP_0187624532
OG1_5_6617: Emi219|CAMPEP_0187801118 Emi379|CAMPEP_0187637018 Emi370|CAMPEP_0187696486 Emi374|CAMPEP_0187581520 Emihu1|439509
OG1_5_6618: Emi219|CAMPEP_0187801448 Emi379|CAMPEP_0187628844 Emi374|CAMPEP_0187599094 Emi370|CAMPEP_0187673576 Emihu1|225084
OG1_5_6620: Emi219|CAMPEP_0187801456 Emi370|CAMPEP_0187697064 Emi379|CAMPEP_0187646214 Emi374|CAMPEP_0187606994 Emihu1|455075
OG1_5_6622: Emi219|CAMPEP_0187802178 Emi370|CAMPEP_0187695818 Emihu1|466613 Emi374|CAMPEP_0187586008 Emi379|CAMPEP_0187626430
OG1_5_6625: Emi219|CAMPEP_0187760042 Emi374|CAMPEP_0187603916 Emihu1|469192 Emi370|CAMPEP_0187689176 Emi379|CAMPEP_0187657082
OG1_5_6627: Emi219|CAMPEP_0187802464 Emi379|CAMPEP_0187620084 Emi374|CAMPEP_0187577044 Emi370|CAMPEP_0187716644 Emihu1|200885
OG1_5_6628: Emi219|CAMPEP_0187802470 Emi370|CAMPEP_0187734948 Emi374|CAMPEP_0187608974 Emihu1|450270 Emi379|CAMPEP_0187634082
OG1_5_6630: Emi219|CAMPEP_0187802524 Emi370|CAMPEP_0187687832 Emi374|CAMPEP_0187591088 Emihu1|450619 Emi379|CAMPEP_0187615884
OG1_5_6631: Emi219|CAMPEP_0187802526 Emi379|CAMPEP_0187636322 Emi374|CAMPEP_0187609670 Emi370|CAMPEP_0187729048 Emihu1|237054
OG1_5_6632: Emi219|CAMPEP_0187802700 Emi379|CAMPEP_0187612692 Emi374|CAMPEP_0187611804 Emi370|CAMPEP_0187676630 Emihu1|366931
OG1_5_6633: Emi219|CAMPEP_0187802778 Emi374|CAMPEP_0187609412 Emi379|CAMPEP_0187654974 Emi370|CAMPEP_0187735232 Emihu1|67481
OG1_5_6634: Emi219|CAMPEP_0187802890 Emi374|CAMPEP_0187610910 Emi379|CAMPEP_0187641100 Emi370|CAMPEP_0187688358 Emihu1|204232
OG1_5_6635: Emi219|CAMPEP_0187802884 Emihu1|221980 Emi374|CAMPEP_0187610620 Emi379|CAMPEP_0187656750 Emi370|CAMPEP_0187732502
OG1_5_6636: Emi219|CAMPEP_0187760074 Emi379|CAMPEP_0187633630 Emi370|CAMPEP_0187682804 Emi374|CAMPEP_0187574662 Emihu1|104940
OG1_5_6637: Emi219|CAMPEP_0187802994 Emihu1|436903 Emi374|CAMPEP_0187610046 Emi379|CAMPEP_0187657564 Emi370|CAMPEP_0187693826
OG1_5_6639: Emi219|CAMPEP_0187803064 Emihu1|360139 Emi370|CAMPEP_0187703118 Emi379|CAMPEP_0187614402 Emi374|CAMPEP_0187589774
OG1_5_6640: Emi219|CAMPEP_0187803074 Emi379|CAMPEP_0187639566 Emihu1|236875 Emi374|CAMPEP_0187579256 Emi370|CAMPEP_0187710376
OG1_5_6642: Emi219|CAMPEP_0187803140 Emi374|CAMPEP_0187590478 Emi370|CAMPEP_0187703268 Emi379|CAMPEP_0187622784 Emihu1|242846
OG1_5_6644: Emi219|CAMPEP_0187751108 Emi374|CAMPEP_0187577772 Emi370|CAMPEP_0187668760 Emihu1|449137 Emi379|CAMPEP_0187612582
OG1_5_6646: Emi219|CAMPEP_0187751564 Emi370|CAMPEP_0187733466 Emihu1|440500 Emi379|CAMPEP_0187651260 Emi374|CAMPEP_0187576982
OG1_5_6647: Emi219|CAMPEP_0187751832 Emi370|CAMPEP_0187706326 Emi374|CAMPEP_0187577684 Emi379|CAMPEP_0187652880 Emihu1|451995
OG1_5_6650: Emi219|CAMPEP_0187752800 Emi370|CAMPEP_0187725792 Emi379|CAMPEP_0187614776 Emi374|CAMPEP_0187583098 Emihu1|466261
OG1_5_6651: Emi219|CAMPEP_0187792044 Emi370|CAMPEP_0187668234 Emi379|CAMPEP_0187635956 Emi374|CAMPEP_0187587052 Emihu1|452380
OG1_5_6652: Emi219|CAMPEP_0187752812 Emi374|CAMPEP_0187608632 Emi379|CAMPEP_0187646028 Emi370|CAMPEP_0187722510 Emihu1|465316
OG1_5_6653: Emi219|CAMPEP_0187753068 Emi374|CAMPEP_0187575576 Emi379|CAMPEP_0187634306 Emi370|CAMPEP_0187668074 Emihu1|439264
OG1_5_6655: Emi219|CAMPEP_0187792790 Emi379|CAMPEP_0187645116 Emi370|CAMPEP_0187675992 Emihu1|198623 Emi374|CAMPEP_0187581664
OG1_5_6656: Emi219|CAMPEP_0187738248 Emi379|CAMPEP_0187645534 Emi370|CAMPEP_0187668898 Emi374|CAMPEP_0187591520 Emihu1|452727
OG1_5_6657: Emi219|CAMPEP_0187754092 Emi374|CAMPEP_0187599108 Emihu1|453016 Emi370|CAMPEP_0187730648 Emi379|CAMPEP_0187655670
OG1_5_6658: Emi219|CAMPEP_0187754652 Emi379|CAMPEP_0187623338 Emi374|CAMPEP_0187581408 Emihu1|356503 Emi370|CAMPEP_0187735766
OG1_5_6660: Emi219|CAMPEP_0187755128 Emi374|CAMPEP_0187591346 Emi370|CAMPEP_0187725542 Emi379|CAMPEP_0187621044 Emihu1|124646
OG1_5_6661: Emi219|CAMPEP_0187755332 Emi379|CAMPEP_0187645720 Emi374|CAMPEP_0187592788 Emi370|CAMPEP_0187678048 Emihu1|225662
OG1_5_6663: Emi219|CAMPEP_0187755578 Emi379|CAMPEP_0187639258 Emi374|CAMPEP_0187578150 Emi370|CAMPEP_0187693354 Emihu1|228823
OG1_5_6664: Emi219|CAMPEP_0187794256 Emi379|CAMPEP_0187648724 Emi370|CAMPEP_0187711294 Emi374|CAMPEP_0187588398 Emihu1|463519
OG1_5_6665: Emi219|CAMPEP_0187755776 Emi374|CAMPEP_0187583114 Emi370|CAMPEP_0187710226 Emi379|CAMPEP_0187620122 Emihu1|462263
OG1_5_6666: Emi219|CAMPEP_0187794254 Emi370|CAMPEP_0187703658 Emi374|CAMPEP_0187579350 Emi379|CAMPEP_0187645620 Emihu1|439586
OG1_5_6667: Emi219|CAMPEP_0187794552 Emi370|CAMPEP_0187703618 Emi379|CAMPEP_0187624054 Emi374|CAMPEP_0187590308 Emihu1|437398
OG1_5_6669: Emi219|CAMPEP_0187794558 Emi379|CAMPEP_0187648832 Emi370|CAMPEP_0187688952 Emi374|CAMPEP_0187581718 Emihu1|464851
OG1_5_6670: Emi219|CAMPEP_0187794562 Emihu1|467388 Emi370|CAMPEP_0187677710 Emi374|CAMPEP_0187585450 Emi379|CAMPEP_0187641988
OG1_5_6671: Emi219|CAMPEP_0187756022 Emihu1|211665 Emi374|CAMPEP_0187610784 Emi379|CAMPEP_0187625588 Emi370|CAMPEP_0187686784
OG1_5_6672: Emi219|CAMPEP_0187795580 Emihu1|458866 Emi379|CAMPEP_0187650160 Emi370|CAMPEP_0187667204 Emi374|CAMPEP_0187608506
OG1_5_6673: Emi219|CAMPEP_0187796636 Emi374|CAMPEP_0187601868 Emi370|CAMPEP_0187694586 Emihu1|51266 Emi379|CAMPEP_0187657104
OG1_5_6674: Emi219|CAMPEP_0187756620 Emihu1|447420 Emi379|CAMPEP_0187622262 Emi374|CAMPEP_0187610570 Emi370|CAMPEP_0187684258
OG1_5_6676: Emi219|CAMPEP_0187738598 Emi370|CAMPEP_0187681356 Emihu1|441246 Emi379|CAMPEP_0187621760 Emi374|CAMPEP_0187607542
OG1_5_6677: Emi219|CAMPEP_0187757198 Emi374|CAMPEP_0187597702 Emi370|CAMPEP_0187691264 Emihu1|96865 Emi379|CAMPEP_0187632426
OG1_5_6678: Emi219|CAMPEP_0187757784 Emi379|CAMPEP_0187628120 Emi374|CAMPEP_0187582100 Emi370|CAMPEP_0187734336 Emihu1|55884
OG1_5_6679: Emi219|CAMPEP_0187798636 Emihu1|466878 Emi379|CAMPEP_0187628932 Emi374|CAMPEP_0187582866 Emi370|CAMPEP_0187674448
OG1_5_6680: Emi219|CAMPEP_0187757928 Emi379|CAMPEP_0187627538 Emi370|CAMPEP_0187662742 Emihu1|246199 Emi374|CAMPEP_0187601102
OG1_5_6681: Emi219|CAMPEP_0187758352 Emi370|CAMPEP_0187705498 Emihu1|59131 Emi379|CAMPEP_0187629826 Emi374|CAMPEP_0187605620
OG1_5_6683: Emi219|CAMPEP_0187759606 Emihu1|207660 Emi374|CAMPEP_0187607640 Emi370|CAMPEP_0187665138 Emi379|CAMPEP_0187633580
OG1_5_6684: Emi219|CAMPEP_0187801128 Emihu1|68017 Emi370|CAMPEP_0187671678 Emi374|CAMPEP_0187581532 Emi379|CAMPEP_0187646536
OG1_5_6685: Emi219|CAMPEP_0187801136 Emihu1|461962 Emi379|CAMPEP_0187648850 Emi374|CAMPEP_0187606848 Emi370|CAMPEP_0187688918
OG1_5_6687: Emi219|CAMPEP_0187801460 Emi379|CAMPEP_0187617196 Emi370|CAMPEP_0187711278 Emi374|CAMPEP_0187609124 Emihu1|433058
OG1_5_6688: Emi219|CAMPEP_0187801466 Emi379|CAMPEP_0187649388 Emi374|CAMPEP_0187589512 Emi370|CAMPEP_0187677992 Emihu1|452072
OG1_5_6689: Emi219|CAMPEP_0187802480 Emi370|CAMPEP_0187729580 Emi379|CAMPEP_0187658180 Emihu1|239549 Emi374|CAMPEP_0187576230
OG1_5_6691: Emi219|CAMPEP_0187802596 Emi374|CAMPEP_0187610788 Emi379|CAMPEP_0187628040 Emi370|CAMPEP_0187675226 Emihu1|434561
OG1_5_6693: Emi219|CAMPEP_0187802646 Emi374|CAMPEP_0187577496 Emi379|CAMPEP_0187639638 Emi370|CAMPEP_0187682016 Emihu1|432637
OG1_5_6694: Emi219|CAMPEP_0187802648 Emihu1|467145 Emi379|CAMPEP_0187657450 Emi374|CAMPEP_0187610090 Emi370|CAMPEP_0187669294
OG1_5_6695: Emi219|CAMPEP_0187802702 Emi370|CAMPEP_0187670764 Emi379|CAMPEP_0187640688 Emihu1|199769 Emi374|CAMPEP_0187584240
OG1_5_6696: Emi219|CAMPEP_0187802712 Emihu1|434511 Emi374|CAMPEP_0187609480 Emi370|CAMPEP_0187730140 Emi379|CAMPEP_0187656892
OG1_5_6699: Emi219|CAMPEP_0187803014 Emi370|CAMPEP_0187692456 Emi379|CAMPEP_0187655576 Emi374|CAMPEP_0187609066 Emihu1|450456
OG1_5_6701: Emi219|CAMPEP_0187803088 Emi370|CAMPEP_0187729412 Emihu1|457775 Emi379|CAMPEP_0187640080 Emi374|CAMPEP_0187599828
OG1_5_6702: Emi219|CAMPEP_0187803092 Emihu1|61069 Emi370|CAMPEP_0187734502 Emi379|CAMPEP_0187656584 Emi374|CAMPEP_0187600158
OG1_5_6703: Emi219|CAMPEP_0187803164 Emi370|CAMPEP_0187736086 Emi379|CAMPEP_0187624312 Emihu1|110479 Emi374|CAMPEP_0187574588
OG1_5_6704: Emi219|CAMPEP_0187803270 Emi374|CAMPEP_0187582814 Emi370|CAMPEP_0187692142 Emi379|CAMPEP_0187633048 Emihu1|454253
OG1_5_6705: Emi219|CAMPEP_0187803280 Emi374|CAMPEP_0187590346 Emihu1|457781 Emi370|CAMPEP_0187730822 Emi379|CAMPEP_0187655826
OG1_5_6706: Emi219|CAMPEP_0187803342 Emi370|CAMPEP_0187679086 Emi374|CAMPEP_0187587886 Emi379|CAMPEP_0187627684 Emihu1|464773
OG1_5_6708: Emi219|CAMPEP_0187803460 Emihu1|443376 Emi370|CAMPEP_0187667586 Emi374|CAMPEP_0187587046 Emi379|CAMPEP_0187632546
OG1_5_6709: Emi219|CAMPEP_0187803504 Emi379|CAMPEP_0187656638 Emi370|CAMPEP_0187731770 Emi374|CAMPEP_0187611650 Emihu1|108504
OG1_5_6710: Emi219|CAMPEP_0187738000 Emi374|CAMPEP_0187591498 Emi379|CAMPEP_0187638080 Emi370|CAMPEP_0187716370 Emihu1|454258
OG1_5_6711: Emi219|CAMPEP_0187750682 Emi370|CAMPEP_0187675904 Emi374|CAMPEP_0187581794 Emi379|CAMPEP_0187642278 Emihu1|352039
OG1_5_6712: Emi219|CAMPEP_0187790414 Emihu1|68198 Emi379|CAMPEP_0187631788 Emi370|CAMPEP_0187691442 Emi374|CAMPEP_0187604704
OG1_5_6714: Emi219|CAMPEP_0187751128 Emi370|CAMPEP_0187659424 Emi374|CAMPEP_0187594648 Emi379|CAMPEP_0187649638 Emihu1|452764
OG1_5_6716: Emi219|CAMPEP_0187751576 Emi374|CAMPEP_0187576800 Emi379|CAMPEP_0187622192 Emi370|CAMPEP_0187729144 Emihu1|231674
OG1_5_6717: Emi219|CAMPEP_0187791086 Emihu1|415549 Emi374|CAMPEP_0187577900 Emi370|CAMPEP_0187685344 Emi379|CAMPEP_0187645454
OG1_5_6718: Emi219|CAMPEP_0187751854 Emihu1|440955 Emi370|CAMPEP_0187720298 Emi374|CAMPEP_0187590452 Emi379|CAMPEP_0187627740
OG1_5_6720: Emi219|CAMPEP_0187752340 Emi370|CAMPEP_0187723162 Emi374|CAMPEP_0187575482 Emi379|CAMPEP_0187625164 Emihu1|437167
OG1_5_6722: Emi219|CAMPEP_0187752804 Emi374|CAMPEP_0187596280 Emi379|CAMPEP_0187632950 Emihu1|357361 Emi370|CAMPEP_0187691212
OG1_5_6723: Emi219|CAMPEP_0187753100 Emi379|CAMPEP_0187628968 Emi370|CAMPEP_0187712254 Emi374|CAMPEP_0187600940 Emihu1|195890
OG1_5_6724: Emi219|CAMPEP_0187754114 Emi374|CAMPEP_0187591354 Emi370|CAMPEP_0187679022 Emi379|CAMPEP_0187655742 Emihu1|469577
OG1_5_6726: Emi219|CAMPEP_0187754642 Emi379|CAMPEP_0187658412 Emi370|CAMPEP_0187663194 Emi374|CAMPEP_0187607018 Emihu1|354398
OG1_5_6727: Emi219|CAMPEP_0187738372 Emihu1|432311 Emi379|CAMPEP_0187613040 Emi370|CAMPEP_0187730042 Emi374|CAMPEP_0187585844
OG1_5_6729: Emi219|CAMPEP_0187794260 Emi370|CAMPEP_0187689184 Emi379|CAMPEP_0187634360 Emi374|CAMPEP_0187607124 Emihu1|426599
OG1_5_6730: Emi219|CAMPEP_0187794266 Emihu1|432929 Emi370|CAMPEP_0187688726 Emi379|CAMPEP_0187642840 Emi374|CAMPEP_0187603056
OG1_5_6731: Emi219|CAMPEP_0187794268 Emihu1|437487 Emi370|CAMPEP_0187735846 Emi379|CAMPEP_0187649142 Emi374|CAMPEP_0187606770
OG1_5_6732: Emi219|CAMPEP_0187794270 Emi374|CAMPEP_0187590262 Emi370|CAMPEP_0187688786 Emihu1|434150 Emi379|CAMPEP_0187637204
OG1_5_6733: Emi219|CAMPEP_0187794572 Emihu1|105775 Emi370|CAMPEP_0187718774 Emi374|CAMPEP_0187589214 Emi379|CAMPEP_0187646398
OG1_5_6735: Emi219|CAMPEP_0187794578 Emihu1|69772 Emi379|CAMPEP_0187633614 Emi370|CAMPEP_0187728580 Emi374|CAMPEP_0187581456
OG1_5_6736: Emi219|CAMPEP_0187794584 Emi370|CAMPEP_0187732840 Emi379|CAMPEP_0187638228 Emi374|CAMPEP_0187592408 Emihu1|355011
OG1_5_6739: Emi219|CAMPEP_0187756290 Emi379|CAMPEP_0187655186 Emi374|CAMPEP_0187610464 Emi370|CAMPEP_0187702260 Emihu1|451159
OG1_5_6740: Emi219|CAMPEP_0187756402 Emihu1|222692 Emi370|CAMPEP_0187682608 Emi374|CAMPEP_0187611058 Emi379|CAMPEP_0187623280
OG1_5_6742: Emi219|CAMPEP_0187796978 Emihu1|451977 Emi374|CAMPEP_0187591228 Emi370|CAMPEP_0187690506 Emi379|CAMPEP_0187640506
OG1_5_6743: Emi219|CAMPEP_0187738632 Emihu1|455448 Emi379|CAMPEP_0187616218 Emi374|CAMPEP_0187606680 Emi370|CAMPEP_0187705124
OG1_5_6744: Emi219|CAMPEP_0187757214 Emi370|CAMPEP_0187663708 Emi379|CAMPEP_0187638828 Emi374|CAMPEP_0187602916 Emihu1|352499
OG1_5_6745: Emi219|CAMPEP_0187798418 Emi370|CAMPEP_0187683468 Emi374|CAMPEP_0187588400 Emi379|CAMPEP_0187649104 Emihu1|363966
OG1_5_6746: Emi219|CAMPEP_0187757558 Emi374|CAMPEP_0187609940 Emi370|CAMPEP_0187702454 Emi379|CAMPEP_0187623212 Emihu1|448337
OG1_5_6747: Emi219|CAMPEP_0187757560 Emi374|CAMPEP_0187596674 Emihu1|222736 Emi370|CAMPEP_0187703656 Emi379|CAMPEP_0187630542
OG1_5_6748: Emi219|CAMPEP_0187758364 Emihu1|437731 Emi379|CAMPEP_0187624492 Emi370|CAMPEP_0187732118 Emi374|CAMPEP_0187576212
OG1_5_6749: Emi219|CAMPEP_0187759612 Emihu1|216447 Emi379|CAMPEP_0187613700 Emi374|CAMPEP_0187583026 Emi370|CAMPEP_0187669226
OG1_5_6750: Emi219|CAMPEP_0187801140 Emihu1|466975 Emi379|CAMPEP_0187631710 Emi370|CAMPEP_0187688352 Emi374|CAMPEP_0187601660
OG1_5_6751: Emi219|CAMPEP_0187801138 Emihu1|453005 Emi370|CAMPEP_0187688958 Emi379|CAMPEP_0187620720 Emi374|CAMPEP_0187592416
OG1_5_6752: Emi219|CAMPEP_0187801148 Emi379|CAMPEP_0187642614 Emi370|CAMPEP_0187688554 Emi374|CAMPEP_0187607684 Emihu1|453108
OG1_5_6753: Emi219|CAMPEP_0187801150 Emi370|CAMPEP_0187691394 Emi379|CAMPEP_0187622916 Emihu1|454807 Emi374|CAMPEP_0187583674
OG1_5_6754: Emi219|CAMPEP_0187801154 Emi370|CAMPEP_0187689034 Emi374|CAMPEP_0187581384 Emi379|CAMPEP_0187615462 Emihu1|222988
OG1_5_6755: Emi219|CAMPEP_0187801482 Emihu1|426690 Emi370|CAMPEP_0187705040 Emi379|CAMPEP_0187637978 Emi374|CAMPEP_0187582790
