KeggID	Kegg Definition	Module ID	Module Definition	Submodule1	Submodule2	SuperModule
K12525	metL; bifunctional aspartokinase / homoserine dehydrogenase 2 [EC:2.7.2.4 1.1.1.3]	M00017	Methionine biosynthesis, apartate => homoserine => methionine [PATH:map01230 map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K12526	lysAC; bifunctional diaminopimelate decarboxylase / aspartate kinase [EC:4.1.1.20 2.7.2.4]	M00017	Methionine biosynthesis, apartate => homoserine => methionine [PATH:map01230 map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	M00017	Methionine biosynthesis, apartate => homoserine => methionine [PATH:map01230 map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K00003	E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]	M00017	Methionine biosynthesis, apartate => homoserine => methionine [PATH:map01230 map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K00651	metA; homoserine O-succinyltransferase [EC:2.3.1.46]	M00017	Methionine biosynthesis, apartate => homoserine => methionine [PATH:map01230 map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K01739	metB; cystathionine gamma-synthase [EC:2.5.1.48]	M00017	Methionine biosynthesis, apartate => homoserine => methionine [PATH:map01230 map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K01760	metC; cystathionine beta-lyase [EC:4.4.1.8]	M00017	Methionine biosynthesis, apartate => homoserine => methionine [PATH:map01230 map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K00548	metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]	M00017	Methionine biosynthesis, apartate => homoserine => methionine [PATH:map01230 map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K00549	metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]	M00017	Methionine biosynthesis, apartate => homoserine => methionine [PATH:map01230 map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]	M00034	Methionine salvage pathway [PATH:map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K01611	speD, AMD1; S-adenosylmethionine decarboxylase [EC:4.1.1.50]	M00034	Methionine salvage pathway [PATH:map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K00797	speE, SRM; spermidine synthase [EC:2.5.1.16]	M00034	Methionine salvage pathway [PATH:map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K01243	mtnN, mtn, pfs; S-adenosylhomocysteine/5'-methylthioadenosine nucleosidase [EC:3.2.2.9]	M00034	Methionine salvage pathway [PATH:map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K01244	MTN; 5'-methylthioadenosine nucleosidase [EC:3.2.2.16]	M00034	Methionine salvage pathway [PATH:map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K00899	mtnK; 5-methylthioribose kinase [EC:2.7.1.100]	M00034	Methionine salvage pathway [PATH:map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K00772	E2.4.2.28, mtaP; 5'-methylthioadenosine phosphorylase [EC:2.4.2.28]	M00034	Methionine salvage pathway [PATH:map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K08963	mtnA; methylthioribose-1-phosphate isomerase [EC:5.3.1.23]	M00034	Methionine salvage pathway [PATH:map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K16054	DEP1; methylthioribulose 1-phosphate dehydratase / enolase-phosphatase E1 [EC:4.2.1.109 3.1.3.77]	M00034	Methionine salvage pathway [PATH:map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K08964	mtnB; methylthioribulose-1-phosphate dehydratase [EC:4.2.1.109]	M00034	Methionine salvage pathway [PATH:map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K09880	mtnC, ENOPH1; enolase-phosphatase E1 [EC:3.1.3.77]	M00034	Methionine salvage pathway [PATH:map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K08965	mtnW; 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [EC:5.3.2.5]	M00034	Methionine salvage pathway [PATH:map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K08966	mtnX; 2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase [EC:3.1.3.87]	M00034	Methionine salvage pathway [PATH:map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K08967	mtnD, mtnZ, ADI1; 1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase [EC:1.13.11.53 1.13.11.54]	M00034	Methionine salvage pathway [PATH:map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K00815	TAT; tyrosine aminotransferase [EC:2.6.1.5]	M00034	Methionine salvage pathway [PATH:map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K08969	mtnE, mtnV; aminotransferase [EC:2.6.1.-]	M00034	Methionine salvage pathway [PATH:map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K00832	tyrB; aromatic-amino-acid transaminase [EC:2.6.1.57]	M00034	Methionine salvage pathway [PATH:map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K00838	ARO8; aromatic amino acid aminotransferase I [EC:2.6.1.57 2.6.1.27 2.6.1.5]	M00034	Methionine salvage pathway [PATH:map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]	M00035	Methionine degradation [PATH:map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K00558	DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	M00035	Methionine degradation [PATH:map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K17398	DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37]	M00035	Methionine degradation [PATH:map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K17399	DNMT3B; DNA (cytosine-5)-methyltransferase 3B [EC:2.1.1.37]	M00035	Methionine degradation [PATH:map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K01251	E3.3.1.1, ahcY; adenosylhomocysteinase [EC:3.3.1.1]	M00035	Methionine degradation [PATH:map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K01697	E4.2.1.22, CBS; cystathionine beta-synthase [EC:4.2.1.22]	M00035	Methionine degradation [PATH:map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K10150	cysO; cysteine synthase / O-phosphoserine sulfhydrylase / cystathionine beta-synthase [EC:2.5.1.47 2.5.1.65 4.2.1.22]	M00035	Methionine degradation [PATH:map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]	M00368	Ethylene biosynthesis, methionine => ethylene [PATH:map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K01762	ACS; 1-aminocyclopropane-1-carboxylate synthase [EC:4.4.1.14]	M00368	Ethylene biosynthesis, methionine => ethylene [PATH:map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K05933	E1.14.17.4; aminocyclopropanecarboxylate oxidase [EC:1.14.17.4]	M00368	Ethylene biosynthesis, methionine => ethylene [PATH:map00270]	Cysteine and methionine metabolism	Nucleotide and amino acid metabolism	Pathway module
K01652	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine [PATH:map01210 map01230 map00290]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K01653	E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit [EC:2.2.1.6]	M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine [PATH:map01210 map01230 map00290]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K11258	ilvM; acetolactate synthase II small subunit [EC:2.2.1.6]	M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine [PATH:map01210 map01230 map00290]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K00053	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]	M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine [PATH:map01210 map01230 map00290]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K01687	ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]	M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine [PATH:map01210 map01230 map00290]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K00826	E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]	M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine [PATH:map01210 map01230 map00290]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K09011	cimA; D-citramalate synthase [EC:2.3.1.182]	M00535	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate [PATH:map01210 map01230 map00290]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K01703	leuC; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]	M00535	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate [PATH:map01210 map01230 map00290]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K01704	leuD; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]	M00535	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate [PATH:map01210 map01230 map00290]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K00052	leuB; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]	M00535	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate [PATH:map01210 map01230 map00290]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K17989	SDS, SDH, CHA1; L-serine/L-threonine ammonia-lyase [EC:4.3.1.17 4.3.1.19]	M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine [PATH:map01230 map00290]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K01754	E4.3.1.19, ilvA, tdcB; threonine dehydratase [EC:4.3.1.19]	M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine [PATH:map01230 map00290]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K01652	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine [PATH:map01230 map00290]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K01653	E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit [EC:2.2.1.6]	M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine [PATH:map01230 map00290]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K11258	ilvM; acetolactate synthase II small subunit [EC:2.2.1.6]	M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine [PATH:map01230 map00290]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K00053	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]	M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine [PATH:map01230 map00290]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K01687	ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]	M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine [PATH:map01230 map00290]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K00826	E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]	M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine [PATH:map01230 map00290]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K01649	leuA; 2-isopropylmalate synthase [EC:2.3.3.13]	M00432	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate [PATH:map01210 map01230 map00290]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K01702	LEU1; 3-isopropylmalate dehydratase [EC:4.2.1.33]	M00432	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate [PATH:map01210 map01230 map00290]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K01703	leuC; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]	M00432	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate [PATH:map01210 map01230 map00290]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K01704	leuD; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]	M00432	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate [PATH:map01210 map01230 map00290]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K00052	leuB; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]	M00432	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate [PATH:map01210 map01230 map00290]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K00826	E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]	M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA [PATH:map00280]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K00166	BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component, alpha subunit [EC:1.2.4.4]	M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA [PATH:map00280]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K00167	E1.2.4.4B, bkdA2; 2-oxoisovalerate dehydrogenase E1 component, beta subunit [EC:1.2.4.4]	M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA [PATH:map00280]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K11381	E1.2.4.4C, bkdA; 2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4]	M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA [PATH:map00280]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K09699	E2.3.1.168, bkdB; 2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) [EC:2.3.1.168]	M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA [PATH:map00280]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]	M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA [PATH:map00280]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K00253	IVD, ivd; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]	M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA [PATH:map00280]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K00249	ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]	M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA [PATH:map00280]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K01968	E6.4.1.4A; 3-methylcrotonyl-CoA carboxylase alpha subunit [EC:6.4.1.4]	M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA [PATH:map00280]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K01969	E6.4.1.4B; 3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]	M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA [PATH:map00280]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K05607	AUH; methylglutaconyl-CoA hydratase [EC:4.2.1.18]	M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA [PATH:map00280]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K13766	liuC; methylglutaconyl-CoA hydratase [EC:4.2.1.18]	M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA [PATH:map00280]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K01640	E4.1.3.4, HMGCL, hmgL; hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]	M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA [PATH:map00280]	Branched-chain amino acid metabolism	Nucleotide and amino acid metabolism	Pathway module
K00928	lysC; aspartate kinase [EC:2.7.2.4]	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K12524	thrA; bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3]	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K12525	metL; bifunctional aspartokinase / homoserine dehydrogenase 2 [EC:2.7.2.4 1.1.1.3]	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K12526	lysAC; bifunctional diaminopimelate decarboxylase / aspartate kinase [EC:4.1.1.20 2.7.2.4]	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K01714	dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K00215	dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K00674	dapD; 2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase [EC:2.3.1.117]	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K00821	argD; acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K14267	dapC; N-succinyldiaminopimelate aminotransferase [EC:2.6.1.17]	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K01439	dapE; succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K01778	dapF; diaminopimelate epimerase [EC:5.1.1.7]	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K01586	lysA; diaminopimelate decarboxylase [EC:4.1.1.20]	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K00928	lysC; aspartate kinase [EC:2.7.2.4]	M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K01714	dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K00215	dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K05822	dapH, dapD; tetrahydrodipicolinate N-acetyltransferase [EC:2.3.1.89]	M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K00841	patA; aminotransferase [EC:2.6.1.-]	M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K05823	E3.5.1.47; N-acetyldiaminopimelate deacetylase [EC:3.5.1.47]	M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K01778	dapF; diaminopimelate epimerase [EC:5.1.1.7]	M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K01586	lysA; diaminopimelate decarboxylase [EC:4.1.1.20]	M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K00928	lysC; aspartate kinase [EC:2.7.2.4]	M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K12524	thrA; bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3]	M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K12525	metL; bifunctional aspartokinase / homoserine dehydrogenase 2 [EC:2.7.2.4 1.1.1.3]	M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K12526	lysAC; bifunctional diaminopimelate decarboxylase / aspartate kinase [EC:4.1.1.20 2.7.2.4]	M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K01714	dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K00215	dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K03340	dapdh; diaminopimelate dehydrogenase [EC:1.4.1.16]	M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K01586	lysA; diaminopimelate decarboxylase [EC:4.1.1.20]	M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K00928	lysC; aspartate kinase [EC:2.7.2.4]	M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K12524	thrA; bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3]	M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K12525	metL; bifunctional aspartokinase / homoserine dehydrogenase 2 [EC:2.7.2.4 1.1.1.3]	M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K12526	lysAC; bifunctional diaminopimelate decarboxylase / aspartate kinase [EC:4.1.1.20 2.7.2.4]	M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K01714	dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K00215	dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K10206	E2.6.1.83; LL-diaminopimelate aminotransferase [EC:2.6.1.83]	M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K01778	dapF; diaminopimelate epimerase [EC:5.1.1.7]	M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
K01586	lysA; diaminopimelate decarboxylase [EC:4.1.1.20]	M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine [PATH:map01230 map00300]	Lysine metabolism	Nucleotide and amino acid metabolism	Pathway module
