KeggID	K1_Kegg Definition	K1_Pathway	K1_Subgroup	K1_Group
K01240	URH1; uridine nucleosidase [EC:3.2.2.3]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K00761	upp, UPRT; uracil phosphoribosyltransferase [EC:2.4.2.9]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K02825	pyrR; pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K00207	DPYD; dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K17722	preT; dihydropyrimidine dehydrogenase (NAD+) subunit PreT [EC:1.3.1.1]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K17723	preA; dihydropyrimidine dehydrogenase (NAD+) subunit PreA [EC:1.3.1.1]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K01464	DPYS, dht, hydA; dihydropyrimidinase [EC:3.5.2.2]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K01431	UPB1; beta-ureidopropionase [EC:3.5.1.6]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K09018	rutA; pyrimidine oxygenase [EC:1.14.99.46]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K09024	rutF; flavin reductase [EC:1.5.1.-]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K09020	rutB; ureidoacrylate peracid hydrolase [EC:3.5.1.110]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K09021	rutC; aminoacrylate peracid reductase	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K09023	rutD; aminoacrylate hydrolase [EC:3.5.1.-]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K16066	ydfG; malonic semialdehyde reductase [EC:1.1.1.-]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K09019	rutE; 3-hydroxypropanoate dehydrogenase [EC:1.1.1.-]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K00756	E2.4.2.2, pdp; pyrimidine-nucleoside phosphorylase [EC:2.4.2.2]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K10213	rihB; ribosylpyrimidine nucleosidase [EC:3.2.2.8]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K01485	E3.5.4.1, codA; cytosine deaminase [EC:3.5.4.1]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K04765	mazG; ATP diphosphatase [EC:3.6.1.8]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K00384	E1.8.1.9, trxB; thioredoxin reductase (NADPH) [EC:1.8.1.9]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K00527	nrdD; ribonucleoside-triphosphate reductase [EC:1.17.4.2]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K00524	nrdJ; ribonucleotide reductase, class II [EC:1.17.4.1]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K00525	E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K00526	E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K10807	RRM1; ribonucleoside-diphosphate reductase subunit M1 [EC:1.17.4.1]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K10808	RRM2; ribonucleoside-diphosphate reductase subunit M2 [EC:1.17.4.1]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K16904	DCTPP1; dCTP diphosphatase [EC:3.6.1.12]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K09887	E3.5.4.30; dCTP deaminase (dUMP-forming) [EC:3.5.4.30]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K01520	dut, DUT; dUTP pyrophosphatase [EC:3.6.1.23]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K00560	thyA, TYMS; thymidylate synthase [EC:2.1.1.45]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K13998	DHFR-TS; dihydrofolate reductase / thymidylate synthase [EC:1.5.1.3 2.1.1.45]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K03465	E2.1.1.148, thyX, thy1; thymidylate synthase (FAD) [EC:2.1.1.148]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K01489	cdd, CDA; cytidine deaminase [EC:3.5.4.5]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K00758	deoA, TYMP; thymidine phosphorylase [EC:2.4.2.4]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K03783	punA; purine-nucleoside phosphorylase [EC:2.4.2.1]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K03784	deoD; purine-nucleoside phosphorylase [EC:2.4.2.1]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K00893	DCK; deoxycitidine kinase [EC:2.7.1.74]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K15519	dck; deoxyadenosine/deoxycytidine kinase [EC:2.7.1.76 2.7.1.74]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K01493	comEB; dCMP deaminase [EC:3.5.4.12]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K08728	E2.4.2.6; nucleoside deoxyribosyltransferase [EC:2.4.2.6]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K00857	tdk, TK; thymidine kinase [EC:2.7.1.21]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K00943	E2.7.4.9, tmk; dTMP kinase [EC:2.7.4.9]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K01119	cpdB; 2',3'-cyclic-nucleotide 2'-phosphodiesterase [EC:3.1.4.16]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K08693	E3.1.3.6; 3'-nucleotidase [EC:3.1.3.6]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K01518	E3.6.1.17; bis(5'-nucleosidyl)-tetraphosphatase [EC:3.6.1.17]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K16328	psuK; pseudouridine kinase [EC:2.7.1.83]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K16329	psuG; pseudouridine-5'-phosphate glycosidase [EC:3.2.-.-]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K16330	K16330; pseudouridine-5'-phosphate glycosidase / pseudouridine kinase [EC:3.2.-.- 2.7.1.83]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K01718	E4.2.1.70; pseudouridylate synthase [EC:4.2.1.70]	00240 Pyrimidine metabolism [PATH:ko00240]	Nucleotide metabolism	Metabolism
K14454	GOT1; aspartate aminotransferase, cytoplasmic [EC:2.6.1.1]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K14455	GOT2; aspartate aminotransferase, mitochondrial [EC:2.6.1.1]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K00811	ASP5; aspartate aminotransferase, chloroplastic [EC:2.6.1.1]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K00812	aspB; aspartate aminotransferase [EC:2.6.1.1]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K00813	aspC; aspartate aminotransferase [EC:2.6.1.1]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K11358	yhdR; aspartate aminotransferase [EC:2.6.1.1]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K03334	IL4I1; L-amino-acid oxidase [EC:1.4.3.2]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K00278	nadB; L-aspartate oxidase [EC:1.4.3.16]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K01779	E5.1.1.13; aspartate racemase [EC:5.1.1.13]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K00272	DDO; D-aspartate oxidase [EC:1.4.3.1]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K01424	E3.5.1.1, ansA, ansB; L-asparaginase [EC:3.5.1.1]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K05597	aspQ, ansB, ansA; glutamin-(asparagin-)ase [EC:3.5.1.38]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K01914	asnA; aspartate--ammonia ligase [EC:6.3.1.1]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K01953	asnB, ASNS; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K13566	NIT2; omega-amidase [EC:3.5.1.3]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K09758	asdA; aspartate 4-decarboxylase [EC:4.1.1.12]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K00814	GPT, ALT; alanine transaminase [EC:2.6.1.2]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K14260	alaA; alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K00830	AGXT; alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K00827	AGXT2; alanine-glyoxylate transaminase / (R)-3-amino-2-methylpropionate-pyruvate transaminase [EC:2.6.1.44 2.6.1.40]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K14272	GGAT; glutamate--glyoxylate aminotransferase [EC:2.6.1.4 2.6.1.2 2.6.1.44 2.6.1.-]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K00259	ald; alanine dehydrogenase [EC:1.4.1.1]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K01744	aspA; aspartate ammonia-lyase [EC:4.3.1.1]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K01940	argG, ASS1; argininosuccinate synthase [EC:6.3.4.5]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K01755	argH, ASL; argininosuccinate lyase [EC:4.3.2.1]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K14681	argHA; argininosuccinate lyase / amino-acid N-acetyltransferase [EC:4.3.2.1 2.3.1.1]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K01939	purA, ADSS; adenylosuccinate synthase [EC:6.3.4.4]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K01756	purB, ADSL; adenylosuccinate lyase [EC:4.3.2.2]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K18309	NAT8L; aspartate N-acetyltransferase [EC:2.3.1.17]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K18310	RIMKLB, NAAGS-I; beta-citrylglutamate/N-acetylaspartylglutamate synthase [EC:6.3.1.17 6.3.2.41]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K18311	RIMKLA, NAAGS-II; N-acetylaspartylglutamate/N-acetylaspartylglutamylglutamate synthase [EC:6.3.2.41 6.3.2.42]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K14592	FOLH1, GCPII; glutamate carboxypeptidase II (folate hydrolase 1) [EC:3.4.17.21]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K01437	ASPA, aspA; aspartoacylase [EC:3.5.1.15]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K00609	pyrB, PYR2; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K00610	pyrI; aspartate carbamoyltransferase regulatory subunit	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K00608	pyrBI; aspartate carbamoyltransferase [EC:2.1.3.2]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K01580	E4.1.1.15, gadB, gadA, GAD; glutamate decarboxylase [EC:4.1.1.15]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K00823	puuE; 4-aminobutyrate aminotransferase [EC:2.6.1.19]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K14268	davT, gabT; 5-aminovalerate/4-aminobutyrate aminotransferase [EC:2.6.1.48 2.6.1.19]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K07250	gabT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase [EC:2.6.1.19 2.6.1.22]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K13524	ABAT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase [EC:2.6.1.19 2.6.1.22]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K16871	POP2; 4-aminobutyrate---pyruvate transaminase [EC:2.6.1.96]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K00139	ALDH5A1; succinate-semialdehyde dehydrogenase [EC:1.2.1.24]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K17761	SSADH; succinate-semialdehyde dehydrogenase, mitochondrial [EC:1.2.1.24]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K08324	sad; succinate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.24]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K00264	GLT1; glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K00265	gltB; glutamate synthase (NADPH/NADH) large chain [EC:1.4.1.13 1.4.1.14]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K00266	gltD; glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K15371	GDH2; glutamate dehydrogenase [EC:1.4.1.2]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K00260	gudB, rocG; glutamate dehydrogenase [EC:1.4.1.2]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K00261	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K00262	E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K00294	E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K13821	putA; proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K01915	glnA, GLUL; glutamine synthetase [EC:6.3.1.2]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K11540	CAD; carbamoyl-phosphate synthase / aspartate carbamoyltransferase / dihydroorotase [EC:6.3.5.5 2.1.3.2 3.5.2.3]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K11541	URA2; carbamoyl-phosphate synthase / aspartate carbamoyltransferase [EC:6.3.5.5 2.1.3.2]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K01954	K01954; carbamoyl-phosphate synthase [EC:6.3.5.5]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K01955	carB, CPA2; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K01956	carA, CPA1; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K01425	glsA, GLS; glutaminase [EC:3.5.1.2]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K01948	CPS1; carbamoyl-phosphate synthase (ammonia) [EC:6.3.4.16]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K00820	glmS, GFPT; glucosamine--fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K00764	purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	Amino acid metabolism	Metabolism
K00928	lysC; aspartate kinase [EC:2.7.2.4]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K12524	thrA; bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K12525	metL; bifunctional aspartokinase / homoserine dehydrogenase 2 [EC:2.7.2.4 1.1.1.3]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K12526	lysAC; bifunctional diaminopimelate decarboxylase / aspartate kinase [EC:4.1.1.20 2.7.2.4]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K00003	E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K00872	thrB1; homoserine kinase [EC:2.7.1.39]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K02204	thrB2; homoserine kinase type II [EC:2.7.1.39]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K02203	thrH; phosphoserine / homoserine phosphotransferase [EC:3.1.3.3 2.7.1.39]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K01733	thrC; threonine synthase [EC:4.2.3.1]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K01620	ltaE; threonine aldolase [EC:4.1.2.5]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K00600	glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K01079	serB, PSPH; phosphoserine phosphatase [EC:3.1.3.3]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K00831	serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K00865	glxK; glycerate kinase [EC:2.7.1.31]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K15788	GLYCTK; glycerate kinase [EC:2.7.1.31]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K15918	GLYK; D-glycerate 3-kinase [EC:2.7.1.31]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K11529	gk; glycerate 2-kinase [EC:2.7.1.165]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K01834	PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K15633	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K15634	gpmB; probable phosphoglycerate mutase [EC:5.4.2.12]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K15635	apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K01837	BPGM; bisphosphoglycerate mutase [EC:5.4.2.4 5.4.2.11 3.1.3.13]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K00018	hprA; glycerate dehydrogenase [EC:1.1.1.29]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K15893	HPR1; hydroxypyruvate reductase 1	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K15919	HPR2; hydroxypyruvate reductase 2	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K00050	ttuD; hydroxypyruvate reductase [EC:1.1.1.81]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K12972	ghrA; gyoxylate/hydroxypyruvate reductase A [EC:1.1.1.79 1.1.1.81]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K00049	GRHPR; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K00639	kbl, GCAT; glycine C-acetyltransferase [EC:2.3.1.29]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K00060	tdh; threonine 3-dehydrogenase [EC:1.1.1.103]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K15789	TDH; threonine 3-dehydrogenase [EC:1.1.1.103]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K00643	E2.3.1.37, ALAS; 5-aminolevulinate synthase [EC:2.3.1.37]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K00274	MAO, aofH; monoamine oxidase [EC:1.4.3.4]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K00276	AOC3, AOC2, tynA; primary-amine oxidase [EC:1.4.3.21]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K00281	GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K00282	gcvPA; glycine dehydrogenase subunit 1 [EC:1.4.4.2]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K00283	gcvPB; glycine dehydrogenase subunit 2 [EC:1.4.4.2]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K00605	gcvT, AMT; aminomethyltransferase [EC:2.1.2.10]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K02437	gcvH, GCSH; glycine cleavage system H protein	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K00273	DAO, aao; D-amino-acid oxidase [EC:1.4.3.3]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K00830	AGXT; alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K00827	AGXT2; alanine-glyoxylate transaminase / (R)-3-amino-2-methylpropionate-pyruvate transaminase [EC:2.6.1.44 2.6.1.40]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
K14272	GGAT; glutamate--glyoxylate aminotransferase [EC:2.6.1.4 2.6.1.2 2.6.1.44 2.6.1.-]	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	Amino acid metabolism	Metabolism
