Nutrient ID	Orthologus Group	Transcripts	Up in +N	Up in -P	Up in DSW
H20	OG1_5_2501	Emi374|CAMPEP_0187610488; Emi379|CAMPEP_0187649102; Emi370|CAMPEP_0187660818; Emi219|CAMPEP_0187779706; Emihu1|459151; Emihu1|452733; Emihu1|41869	0	0	0
H21	OG1_5_1377	Emi374|CAMPEP_0187592412; Emi374|CAMPEP_0187587944; Emi374|CAMPEP_0187611182; Emi379|CAMPEP_0187656800; Emi379|CAMPEP_0187630290; Emi370|CAMPEP_0187679198; Emi370|CAMPEP_0187700048; Emi219|CAMPEP_0187779470; Emi219|CAMPEP_0187744132; Emihu1|429528; Emihu1|433816	0	0	0
H22	OG1_5_8772	Emi374|CAMPEP_0187586264; Emi379|CAMPEP_0187615258; Emi370|CAMPEP_0187689154; Emi219|CAMPEP_0187763314; Emihu1|79644	0	0	0
H23	OG1_5_6970	Emi374|CAMPEP_0187589378; Emi379|CAMPEP_0187646068; Emi370|CAMPEP_0187678956; Emi219|CAMPEP_0187753176; Emihu1|458298	0	0	0
H24	OG1_5_6860	Emi374|CAMPEP_0187596730; Emi379|CAMPEP_0187622668; Emi370|CAMPEP_0187661946; Emi219|CAMPEP_0187754422; Emihu1|448031	0	0	0
H25	OG1_5_6024	Emi374|CAMPEP_0187588014; Emi379|CAMPEP_0187642506; Emi370|CAMPEP_0187679208; Emi219|CAMPEP_0187751950; Emihu1|454744	1	1	1
H26	OG1_5_3308	Emi374|CAMPEP_0187589992; Emi379|CAMPEP_0187626212; Emi370|CAMPEP_0187667704; Emi219|CAMPEP_0187794228; Emihu1|465509; Emihu1|71074	0	0	0
H27	OG1_5_8497	Emi374|CAMPEP_0187581504; Emi379|CAMPEP_0187653600; Emi370|CAMPEP_0187659406; Emi219|CAMPEP_0187761364; Emihu1|464234	1	0	0
H28	OG1_5_8741	Emi374|CAMPEP_0187582712; Emi379|CAMPEP_0187657374; Emi370|CAMPEP_0187689102; Emi219|CAMPEP_0187762880; Emihu1|429140	0	0	0
H29	OG1_5_5105	Emi374|CAMPEP_0187606686; Emi379|CAMPEP_0187626284; Emi219|CAMPEP_0187758198; Emihu1|444955; Emihu1|444171	0	0	0
H30	OG1_5_4851	Emi374|CAMPEP_0187591614; Emi379|CAMPEP_0187638152; Emi219|CAMPEP_0187801270; Emi219|CAMPEP_0187771092; Emihu1|435744	0	0	0
H31	OG1_5_3744	Emi374|CAMPEP_0187579700; Emi379|CAMPEP_0187612364; Emi370|CAMPEP_0187693950; Emi219|CAMPEP_0187771536; Emihu1|455883; Emihu1|450639	1	1	1
H32	OG1_5_37130	Emihu1|431101	0	0	0
H33	OG1_5_7777	Emi374|CAMPEP_0187609830; Emi379|CAMPEP_0187658584; Emi370|CAMPEP_0187679394; Emi219|CAMPEP_0187744458; Emihu1|421581	0	0	0
H34	OG1_5_3285	Emi374|CAMPEP_0187610220; Emi379|CAMPEP_0187626304; Emi370|CAMPEP_0187692936; Emi219|CAMPEP_0187753818; Emihu1|54112; Emihu1|54267	0	0	0
H35	OG1_5_3923	Emi374|CAMPEP_0187579220; Emi379|CAMPEP_0187629580; Emi370|CAMPEP_0187703980; Emi219|CAMPEP_0187773476; Emihu1|457202; Emihu1|447877	0	0	0
H36	OG1_5_5752	Emi374|CAMPEP_0187588640; Emi379|CAMPEP_0187653904; Emi370|CAMPEP_0187663456; Emi219|CAMPEP_0187786806; Emihu1|369425	1	1	1
H37	OG1_5_19008	Emi379|CAMPEP_0187632340; Emi370|CAMPEP_0187680120; Emihu1|57555	0	0	0
H38	OG1_5_8685	Emi374|CAMPEP_0187587900; Emi379|CAMPEP_0187648954; Emi370|CAMPEP_0187676938; Emi219|CAMPEP_0187763426; Emihu1|423817	1	1	1
H39	OG1_5_18317	Emi379|CAMPEP_0187649734; Emi219|CAMPEP_0187763234; Emihu1|463064	0	0	0
H40	OG1_5_5983	Emi374|CAMPEP_0187579380; Emi379|CAMPEP_0187629168; Emi370|CAMPEP_0187720904; Emi219|CAMPEP_0187795332; Emihu1|447879	0	0	0
H41	OG1_5_11431	Emi374|CAMPEP_0187594360; Emi379|CAMPEP_0187616788; Emi219|CAMPEP_0187743304; Emihu1|442264	1	1	1
H42	OG1_5_11954	Emi374|CAMPEP_0187589780; Emi370|CAMPEP_0187666246; Emi219|CAMPEP_0187743222; Emihu1|453099	0	0	0
H43	OG1_5_3417	Emi374|CAMPEP_0187605390; Emi379|CAMPEP_0187643948; Emi370|CAMPEP_0187693698; Emi219|CAMPEP_0187757494; Emihu1|244338; Emihu1|232505	0	0	0
H44	OG1_5_4499	Emi374|CAMPEP_0187589326; Emi379|CAMPEP_0187646492; Emi370|CAMPEP_0187685994; Emi219|CAMPEP_0187785726; Emi219|CAMPEP_0187768480; Emihu1|60978	0	0	0
H45	OG1_5_2972	Emi374|CAMPEP_0187587158; Emi379|CAMPEP_0187657110; Emi370|CAMPEP_0187729644; Emi219|CAMPEP_0187794038; Emi219|CAMPEP_0187757870; Emihu1|455385	0	0	0
H46	OG1_5_7152	Emi374|CAMPEP_0187589190; Emi379|CAMPEP_0187620902; Emi370|CAMPEP_0187719044; Emi219|CAMPEP_0187778678; Emihu1|99818	0	0	0
H47	OG1_5_4084	Emi374|CAMPEP_0187606740; Emi379|CAMPEP_0187635296; Emi370|CAMPEP_0187675348; Emi370|CAMPEP_0187718126; Emi219|CAMPEP_0187768388; Emihu1|434127	1	0	1
